sender,receiver,timestamp,content,read
alice,bob,2026-04-12T13:52:21,Hello Bob lets study together,false
admin123,alice,2026-04-12T14:00:47,Hello,false
admin,alice,2026-04-13T17:54:23,hello,false
tonyyyk,admin123,2026-04-13T18:12:27,hi,true
tonyyyk,admin123,2026-04-13T18:12:31,im tony how are you,true
tonyyyk,alice,2026-04-13T18:13:12,dasd,false
admin,admin123,2026-04-13T18:13:46,hello admin,false
admin,admin123,2026-04-13T18:13:53,can u help me ban him >,false
admin,admin123,2026-04-13T18:13:54,?,false
admin,tonyyyk,2026-04-13T18:14:27,hello tony how are you,false
admin,tonyyyk,2026-04-13T18:31:00,hi,false
tonyyyk,admin123,2026-04-13T18:32:48,hi,true
admin123,tonyyyk,2026-04-13T18:36:01,hello tony how are you,true
